property_id,url,address,disposition,usable_area,location,available_from,furnishing,monthly_rent,energy_fees,security_deposit,admin_fee
885131,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885131-nabidka-pronajem-bytu-zdenky-schelingovej-devinska-nova-ves,"Zdenky Schelingovej, Devínska Nová Ves - Devínska Nová Ves, Bratislavský kraj",2-izbový,42 m²,Rezidencie,1. 5. 2025,Vybavené,500,160,680,680
758194,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/758194-nabidka-pronajem-bytu-ruzinov,"Ružinov - Trnávka, Bratislavský kraj",2-izbový,77 m²,Tichá časť,24. 3. 2025,Vybavené,850,100,1000,850
771607,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/771607-nabidka-pronajem-bytu-obchodna-bratislava,"Obchodná, Bratislava - mestská časť Staré Mesto - Oblasť Obchodná, Bratislavský kraj",2-izbový,77 m²,Tichá časť,24. 3. 2025,Vybavené,850,100,1000,850
884905,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884905-nabidka-pronajem-bytu,"Bratislava - mestská časť Staré Mesto - Oblasť Žilinská, Bratislavský kraj",2-izbový,55 m²,Stredisko,17. 3. 2025,Vybavené,1040,140,2000,1040
884902,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884902-nabidka-pronajem-bytu-haburska-bratislava,"Haburská, Ružinov - Štrkovec, Bratislavský kraj",2-izbový,57 m²,Tichá časť,17. 3. 2025,Vybavené,790,180,790,790
884867,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884867-nabidka-pronajem-bytu-krasovskeho-bratislava,"Krasovského, Petržalka - Dvory, Bratislavský kraj",2-izbový,60 m²,Stredisko,17. 3. 2025,Vybavené,800,150,1200,1200
725864,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/725864-nabidka-pronajem-bytu-landererova-bratislava-i,"Landererova, Bratislava - mestská časť Staré Mesto - Oblasť Dunajská, Bratislavský kraj",2-izbový,57 m²,Stredisko,12. 3. 2025,Vybavené,850,200,1200,1200
883823,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/883823-nabidka-pronajem-bytu-sukennicka-bratislava,"Súkennícka, Ružinov - Nivy, Bratislavský kraj",2-izbový,61 m²,Stredisko,12. 3. 2025,Vybavené,950,200,1280,1280
884858,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884858-nabidka-pronajem-bytu-trnavska-cesta-bratislava,"Trnavská cesta, Ružinov - Štrkovec, Bratislavský kraj",1+1,20 m²,Tichá časť,31. 3. 2025,Vybavené,734,130,550,550
884857,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884857-nabidka-pronajem-bytu-nezabudkova-bratislava,"Nezábudková, Ružinov - Trávniky, Bratislavský kraj",1+1,20 m²,Tichá časť,31. 3. 2025,Vybavené,734,130,550,550
880925,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/880925-nabidka-pronajem-bytu-ivanska-cesta-ruzinov,"Ivanská cesta, Ružinov - Trnávka, Bratislavský kraj",2-izbový,47 m²,Rezidencie,9. 2. 2025,Vybavené,780,30,780,780
873928,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/873928-nabidka-pronajem-bytu-rumancekova-ruzinov,"Rumančeková, Ružinov - Trávniky, Bratislavský kraj",2-izbový,53 m²,Rezidencie,15. 3. 2025,Vybavené,700,50,850,850
768624,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/768624-nabidka-pronajem-bytu-bratislava,"Devínska Nová Ves - Devínska Nová Ves, Bratislavský kraj",2-izbový,62 m²,Tichá časť,1. 4. 2025,Čiastočne,550,200,1200,550
883853,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/883853-nabidka-pronajem-bytu-fialova-petrzalka,"Fialová, Petržalka - Lúky, Bratislavský kraj",1-izbový,40 m²,Rezidencie,1. 5. 2025,Vybavené,650,150,1000,650
884491,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884491-nabidka-pronajem-bytu-vrakunska-cesta-ruzinov,"Vrakunská cesta, Ružinov - Ostredky, Bratislavský kraj",4-izbový,106 m²,Rezidencie,1. 5. 2025,Vybavené,1050,300,1290,1290
884413,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884413-nabidka-pronajem-bytu-rustaveliho-raca,"Rustaveliho, Rača - Centrálna Rača, Bratislavský kraj",2-izbový,45 m²,Tichá časť,13. 3. 2025,Vybavené,550,40,600,600
614778,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/614778-nabidka-pronajem-bytu-hrachova-bratislava,"Hrachová, Ružinov - Prievoz, Bratislavský kraj",1-izbový,35 m²,Tichá časť,1. 4. 2025,Vybavené,550,130,680,550
862971,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/862971-nabidka-pronajem-bytu-klemensova-bratislava,"Klemensova, Bratislava - mestská časť Staré Mesto - Oblasť Dunajská, Bratislavský kraj",4+1,100 m²,Tichá časť,27. 4. 2025,Vybavené,1254,221,937,937
883969,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/883969-nabidka-pronajem-bytu-ludovita-fullu-bratislava,"Ľudovíta Fullu, Karlova Ves - Karlova Ves, Bratislavský kraj",2-izbový,59 m²,Rezidencie,1. 4. 2025,Vybavené,490,180,690,490
880369,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/880369-nabidka-pronajem-bytu-ruzinov,"Ružinov - Trnávka, Bratislavský kraj",2-izbový,51 m²,Tichá časť,4. 2. 2025,Vybavené,750,190,750,750
882898,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882898-nabidka-pronajem-bytu-nove-mesto,"Nové Mesto - Tehelné pole, Bratislavský kraj",1-izbový,48 m²,Stredisko,1. 5. 2025,Vybavené,740,50,900,900
883312,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/883312-nabidka-pronajem-bytu-jana-langosa-lamac,"Jána Langoša, Lamač - Lamač, Bratislavský kraj",2-izbový,41 m²,Tichá časť,3. 3. 2025,Vybavené,675,20,830,830
880534,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/880534-nabidka-pronajem-bytu-bosakova-bratislava,"Bosákova, Petržalka - Háje, Bratislavský kraj",4+1,62 m²,Tichá časť,9. 5. 2025,Vybavené,1068,188,786,786
878582,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/878582-nabidka-pronajem-bytu-grosslingova-bratislava-mestska-cast-stare-mesto,"Grösslingová, Bratislava - mestská časť Staré Mesto - Oblasť Dunajská, Bratislavský kraj",2-izbový,55 m²,Stredisko,20. 1. 2025,Vybavené,790,150,990,990
877271,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/877271-nabidka-pronajem-bytu-mesacna-ruzinov,"Mesačná, Ružinov - Ostredky, Bratislavský kraj",2-izbový,50 m²,Rezidencie,7. 1. 2025,Vybavené,730,730,730,730
879293,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/879293-nabidka-pronajem-bytu-bratislava,"Karlova Ves - Karlova Ves, Bratislavský kraj",4+1,120 m²,Tichá časť,31. 3. 2025,Vybavené,1556,274,1163,1163
830814,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/830814-nabidka-pronajem-bytu-gorkeho-bratislava,"Gorkého, Bratislava - mestská časť Staré Mesto - Historické jadro, Bratislavský kraj",2+1,43 m²,Tichá časť,5. 4. 2025,Vybavené,778,137,137,582
843767,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/843767-nabidka-pronajem-bytu-kupelna-bratislava,"Kúpeľná, Bratislava - mestská časť Staré Mesto - Historické jadro, Bratislavský kraj",1+1,30 m²,Tichá časť,31. 3. 2025,Vybavené,734,130,130,549
879106,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/879106-nabidka-pronajem-bytu-landererova-bratislava,"Landererova, Bratislava - mestská časť Staré Mesto - Oblasť Dunajská, Bratislavský kraj",3+kk,74 m²,Tichá časť,9. 6. 2025,Vybavené,2593,458,1742,1742
830816,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/830816-nabidka-pronajem-bytu-trencianska-bratislava,"Trenčianska, Ružinov - Nivy, Bratislavský kraj",1+1,45 m²,Tichá časť,31. 3. 2025,Vybavené,734,130,130,540
830813,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/830813-nabidka-pronajem-bytu-kupelna-bratislava,"Kúpeľná, Bratislava - mestská časť Staré Mesto - Historické jadro, Bratislavský kraj",3+1,55 m²,Tichá časť,31. 3. 2025,Vybavené,1210,213,213,890
839475,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/839475-nabidka-pronajem-bytu-namestie-mateja-korvina-bratislava,"Námestie Mateja Korvína, Bratislava - mestská časť Staré Mesto - Oblasť Obchodná, Bratislavský kraj",1+1,40 m²,Tichá časť,31. 3. 2025,Vybavené,734,130,850,563
875663,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/875663-nabidka-pronajem-bytu-plynarenska-d-bratislava,"Plynárenská D, Ružinov - Nivy, Bratislavský kraj",3+1,84 m²,Tichá časť,31. 3. 2025,Vybavené,2208,390,1624,1624
841242,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/841242-nabidka-pronajem-bytu-hradska-bratislava,"Hradská, Vrakuňa - Vrakuňa, Bratislavský kraj",2+1,51 m²,Tichá časť,3. 5. 2025,Vybavené,1566,276,276,1171
830808,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/830808-nabidka-pronajem-bytu-hradska-bratislava,"Hradská, Vrakuňa - Vrakuňa, Bratislavský kraj",3+1,79 m²,Tichá časť,31. 3. 2025,Vybavené,1959,346,346,1465
830807,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/830807-nabidka-pronajem-bytu-hradska-bratislava,"Hradská, Vrakuňa - Vrakuňa, Bratislavský kraj",2+1,58 m²,Tichá časť,31. 3. 2025,Vybavené,1609,284,284,1204
875662,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/875662-nabidka-pronajem-bytu-sancova-bratislava,"Šancová, Bratislava - mestská časť Staré Mesto - Oblasť Žilinská, Bratislavský kraj",2+1,40 m²,Tichá časť,31. 3. 2025,Vybavené,2680,473,2004,2004
837388,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/837388-nabidka-pronajem-bytu-mamateyova-bratislava,"Mamateyova, Petržalka - Háje, Bratislavský kraj",1+1,40 m²,Tichá časť,31. 3. 2025,Vybavené,926,163,163,692
878310,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/878310-nabidka-pronajem-bytu-ulica-zavodu-matador-bratislava,"Ulica Závodu Matador, Petržalka - Kapitulský Dvor, Bratislavský kraj",2+1,58 m²,Tichá časť,27. 5. 2025,Vybavené,1117,197,690,690
845382,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/845382-nabidka-pronajem-bytu-zamocka-bratislava,"Zámocká, Bratislava - mestská časť Staré Mesto - Oblasť Partizánska, Bratislavský kraj",3+kk,75 m²,Tichá časť,2. 4. 2025,Vybavené,1210,213,560,913
